ID,0,1,2,3,4,5,6,7,8,9,11,12,13
0,0,0.0448,0.0505,0,0,0,0,0,0,0.1109,0.0784,0,0.0719
1,0.115,0,0.0947,0,0,-0.0707,0,0,0,0.1144,0,-0.0761,0.0637
2,0.0921,0.0521,0,0,0,0,0,0,0,0.1255,0.117,-0.0688,0.0485
3,0.0844,0.0419,0,0,0,0,0,0.0421,0,0.1307,0.0602,0,0.0762
4,0.1179,0.0428,0.0628,0.0383,0,0,0,0,0,0.1209,0.1395,0,0.0636
5,0.1133,0.0661,0.0679,0,0,0,0,0.0402,0,0.1116,0.0694,-0.0435,0.0525
6,0.0916,0.0645,0.074,0,0,0,0,0,0,0.1243,0.0615,0,0.0642
7,0.0815,0.0653,0.0733,0.0613,-0.0516,0,0,0,0,0.1092,0.0409,-0.0531,0
8,0.1098,0.0517,0.0709,0.0377,0,0,0,0,0,0.0993,0.1196,-0.0441,0.0855
9,0.1015,0.061,0.0412,0,0,-0.0538,0,0,0,0,0.113,-0.0755,0.0674
11,0.1012,0.0738,0.0505,0,-0.0508,0,-0.0688,-0.0541,0,0.0928,0,0,0.0828
12,0.1239,0,0.0525,0.0484,0,0,0,0,-0.0463,0.091,0.1082,0,0.0677
13,0.1187,0,0.0425,0,0,-0.0368,0,0,0,0.0903,0.1429,0,0
